LogStreamName,Duration (ms),BilledDuration (ms),MemorySize (MB),MaxMemoryUsed (MB),avg. cost
2024/10/16/[$LATEST]ea2d5c78d5f345248f1c6a8581827476,13312.0,13312,128,125,0.02773908
2024/10/16/[$LATEST]fe43e5e0afac40e6a1d5b82b1fd60b4c,2498.31,2498,192,171,0.00780801125
2024/10/16/[$LATEST]e0c8816369f84a6aaae352723faf8fb8,1871.2,1871,256,171,0.0077975925000000005
2024/10/16/[$LATEST]7272f98acf0a480c8f816cc04d933fe0,1429.69,1430,320,171,0.00744960625
2024/10/16/[$LATEST]821ea2a5d60b413a85b9ffdb23907985,1226.32,1226,384,171,0.007664232500000001
2024/10/16/[$LATEST]6c6a795e7cd84aeda8c1e737669ddb6b,1010.37,1011,448,171,0.007373549375
2024/10/16/[$LATEST]18307614b7624f61bd93927a0e6c4294,889.1,889,512,171,0.007410015000000001
2024/10/16/[$LATEST]acbbe5829a55436bb65c360ecd8bd12a,780.96,781,576,171,0.007323539374999999
2024/10/16/[$LATEST]591c3405feb54626bf7057d8de822fca,734.01,734,640,171,0.007647562500000001
2024/10/16/[$LATEST]be6bd65d2745467e9dd453c2427ead27,654.12,654,704,171,0.0074954487500000005
2024/10/16/[$LATEST]e2584e3a943b402999ef617b95403d67,594.58,595,768,171,0.0074391875000000005
2024/10/16/[$LATEST]c61e072573124dd4a76d2f6a7bb1dc2f,560.34,560,832,172,0.007585049999999999
2024/10/16/[$LATEST]05c0fda30b244381b5bd5141ec2a81b4,499.31,499,896,171,0.00727873875
2024/10/16/[$LATEST]5deedab884ba45af8cc8fdc80d39e7c6,474.49,474,960,172,0.00740793125
2024/10/16/[$LATEST]acaa80b5ca0c47cd9772d53a44e11adb,432.11,432,1024,171,0.0072016400000000005
2024/10/16/[$LATEST]0acf4bf1820947d48222d61b77fa02e9,413.57,414,1088,172,0.00733291625
2024/10/16/[$LATEST]04fe809f731c41eeb90c128036c44384,367.82,368,1152,172,0.00690158
2024/10/16/[$LATEST]d8535399c4584565ad0cead50eeb0b0e,368.99,369,1216,171,0.007304785625000001
2024/10/16/[$LATEST]4955316030aa44619389344c04c22433,345.77,346,1280,172,0.007209975
2024/10/16/[$LATEST]f82188c6edde48daa94608066cc6eab8,337.6,338,1344,171,0.00739542875
2024/10/16/[$LATEST]2c90cafd8db54acab6196b6c6637ae27,325.64,326,1408,172,0.007472527500000001
2024/10/16/[$LATEST]c1de3d512bea4c7aa82d1a54ce0c4227,309.03,309,1472,171,0.007404805625000001
2024/10/16/[$LATEST]818f78f1a62d455a8c9811b400cd602b,292.62,293,1536,172,0.0073266650000000004
2024/10/16/[$LATEST]37e06a8af0ea43d5aecbea223eca1df0,280.01,280,1600,171,0.007293325
2024/10/16/[$LATEST]820c44a5c1784dafaf693229eae94802,282.9,283,1664,171,0.00766631625
2024/10/16/[$LATEST]b06a6fd8ab5e41528e791d46cb7df366,268.89,269,1728,171,0.007567338125000001
2024/10/16/[$LATEST]ac80cf88e9f14d878d8c3c59f65a40aa,259.09,259,1792,171,0.0075558775000000005
2024/10/16/[$LATEST]b9c93fa4291b4a689d89076d99145fbf,261.08,261,1856,172,0.007886151875
2024/10/16/[$LATEST]14bae99b7c8d4535b9366adee5217cfb,258.03,258,1920,171,0.008064312500000002
2024/10/16/[$LATEST]9d784380e09b487c8d1aac5651889e15,254.93,255,1984,171,0.008236221875000001
2024/10/16/[$LATEST]ceb4e61223f647989add990c4ced32a7,257.71,258,2048,171,0.00860192
2024/10/16/[$LATEST]06682c87ad6346619bfaf3e0af0b55c8,254.44,254,2112,171,0.00873319625
2024/10/16/[$LATEST]e663e17fc1644b4fb52913df0a11a532,262.1,262,2176,171,0.0092812225
2024/10/16/[$LATEST]7ec1cfee2aab450baf426a7f87b3c07c,255.91,256,2240,171,0.0093354
2024/10/16/[$LATEST]bb3b268d4e674a4a98160491de33bce2,255.38,255,2304,171,0.0095646125
2024/10/16/[$LATEST]d02dca479e7a4119baa9d9fd2807be5e,254.99,255,2368,171,0.009830290625000002
2024/10/16/[$LATEST]d4dda7c4f18d463a9e9c6e54f2df8180,257.23,257,2432,171,0.010175151250000002
2024/10/16/[$LATEST]c9d554d14c1a4e01b4d0e458fbb6c6e1,264.5,265,2496,172,0.010767978125000001
2024/10/16/[$LATEST]2e011d3c23204d0b8ff5b1a382fe54cf,256.01,256,2560,171,0.010669000000000001
2024/10/16/[$LATEST]8b624f7edf0a484a8304966250a2831b,260.56,261,2624,171,0.011149304375000002
2024/10/16/[$LATEST]3bbd8b9fa1494bb89cba545b10d0f468,261.69,262,2688,171,0.011464992500000002
2024/10/16/[$LATEST]f857b01e4e084d88935198e446629a0e,256.13,256,2752,171,0.01146916
2024/10/16/[$LATEST]5affb60b52d44dad8647c32cf7c440c1,257.86,258,2816,171,0.011827565000000002
2024/10/16/[$LATEST]86b06c608c84414d8f5f9af6be7e2287,260.57,261,2880,171,0.012237021875000002
2024/10/16/[$LATEST]3fe77d3828fa40389f9e29395882ca7d,254.23,254,2944,171,0.012173467500000002
2024/10/16/[$LATEST]3ce1d173b93343ff9b99bb949380c6b6,263.82,264,3008,171,0.012927785000000002
